,Title,Year,Score,Rank,Category
104,Fast Five (2011)  78%,2011,78,36,Certified Fresh
105,Lethal Weapon (1987)  80%,1987,80,35,Certified Fresh
106,The Rock (1996)  67%,1996,67,34,Fresh
107,RoboCop (1987)  92%,1987,92,33,Certified Fresh
108,John Wick: Chapter 2 (2017)  89%,2017,89,32,Certified Fresh
109,Casino Royale (2006)  94%,2006,94,31,Certified Fresh
110,Baby Driver (2017)  92%,2017,92,30,Certified Fresh
111,Fist of Legend (1994)  100%,1994,100,29,Fresh
112,The Killer (1989)  95%,1989,95,28,Certified Fresh
113,The Raid 2 (2014)  82%,2014,82,27,Certified Fresh
114,Enter the Dragon (1973)  88%,1973,88,26,Certified Fresh
115,Commando (1985)  67%,1985,67,25,Fresh
116,First Blood (1982)  86%,1982,86,24,Certified Fresh
117,Mission: Impossible Rogue Nation (2015)  94%,2015,94,23,Certified Fresh
118,The Terminator (1984)  100%,1984,100,22,Certified Fresh
119,Gladiator (2000)  80%,2000,80,21,Certified Fresh
120,Kill Bill: Vol. 1 (2003)  85%,2003,85,20,Certified Fresh
121,The Professional (1994)  74%,1994,74,19,Certified Fresh
122,Speed (1994)  95%,1994,95,18,Certified Fresh
123,Drunken Master II (1994)  84%,1994,84,17,Certified Fresh
124,John Wick (2014)  86%,2014,86,16,Certified Fresh
125,"Crouching Tiger, Hidden Dragon (2000)  98%",2000,98,15,Certified Fresh
126,Predator (1987)  80%,1987,80,14,Certified Fresh
127,The Bourne Ultimatum (2007)  92%,2007,92,13,Certified Fresh
128,Total Recall (1990)  82%,1990,82,12,Certified Fresh
129,Mad Max 2: The Road Warrior (1981)  93%,1981,93,11,Certified Fresh
130,Heat (1995)  88%,1995,88,10,Certified Fresh
131,The Raid: Redemption (2011)  87%,2011,87,9,Certified Fresh
132,Mission: Impossible - Fallout (2018)  97%,2018,97,8,Certified Fresh
133,Raiders of the Lost Ark (1981)  93%,1981,93,7,Certified Fresh
134,Aliens (1986)  98%,1986,98,6,Certified Fresh
135,Hard-Boiled (1992)  92%,1992,92,5,Certified Fresh
136,The Matrix (1999)  83%,1999,83,4,Certified Fresh
137,Terminator 2: Judgment Day (1991)  91%,1991,91,3,Certified Fresh
138,Die Hard (1988)  94%,1988,94,2,Certified Fresh
139,Mad Max: Fury Road (2015)  97%,2015,97,1,Certified Fresh
