book_id,title,author,genre,pages,published_year
1055,A Rose for Emily,William Faulkner,Short Stories,36,1930
1056,Exit Betty,Grace Livingston Hill,Christian,160,2020
1057,In Evil Hour,Gabriel García Márquez,Fiction,192,1962
1058,The Thousand-Dollar Tan Line,Rob Thomas,Mystery,324,2014
1059,Salt & Stone,Victoria Scott ,Young Adult,320,2015
1060,Rainbow Cottage,Grace Livingston Hill,Romance,262,1934
1061,The Lays of Beleriand,J.R.R. Tolkien,Fantasy,393,1985
1062,Sustained,Emma Chase ,Romance,267,2015
1063,Into the Blue,Pene Henson ,Romance,236,2016
1064,The Girl I Used to Be,April Henry ,Mystery,240,2016
1065,River Rising,Athol Dickson ,Christian Fiction,304,2006
1066,Silk Road,Jeanne Larsen ,Fantasy,448,1989
1067,"Good Night, Gorilla",Peggy Rathmann,Picture Books,32,1994
1068,The Ever After of Ashwin Rao,Padma Viswanathan,Fiction,384,2014
1069,God Save the Queen,Kate Locke ,Steampunk,342,2012
1070,The End of Harry Potter?,David Langford,Nonfiction,208,2006
1071,The Golden House,Salman Rushdie,Fiction,380,2017
1072,The Healing Power of Stories,Daniel Taylor ,Nonfiction,182,1996
1073,Three From Galilee: The Young Man from Nazareth,Marjorie Holmes,Historical Fiction,304,1985
1074,Tangled Extra Scenes,Emma Chase ,Romance,37,2013
1075,Jacked,Tina Reber ,Romance,495,2014
1076,Tim Burton's Corpse Bride: The Illustrated Story,Tim Burton,Fantasy,95,2005
1077,Miranda,Grace Livingston Hill,Romance,224,2015
1078,Tied with Me,Kristen Pro,Romance,264,2014
1079,Faked,Karla Sorensen ,Romance,259,2020
1080,Winged Pharaoh,Joan Marshall Grant,Fiction,336,1938
1081,Girls Rule,Ashley Rice ,Nonfiction,64,2002
1082,For Your Own Good: Hidden Cruelty in Child-Rearing and the Roots of Violence,Alice Miller,Psychology,284,1980
1083,50 Physics Ideas You Really Need to Know,Joanne Baker,Science,208,2007
1084,Holy Frigging Matrimony,Emma Chase ,Romance,40,2013
1085,"Nella Last's Peace: The Post-War Diaries of Housewife, 49",Nella Last,Nonfiction,305,2008
1086,Summoned to Darkness,Anne-Marie Sheridan,Fiction,249,1978
1087,Phoebe Deane,Grace Livingston Hill,Romance,224,2009
1088,The Skin Collector,Jeffery Deaver ,Mystery,430,2014
1089,"Roman Lives: A Selection of Eight Lives (Aemilius Paulus, Tiberius Gracchus and Gaius Grachus, Marius, Sulla, Pompey, Caesar, Marc Anthony)",Plutarch,History,608,2000
1090,The Sleeper and the Spindle,Neil Gaiman ,Fantasy,72,2014
1091,Snow White & the Huntsman,Evan Daugherty,Fantasy,220,2012
1092,From Johann To Tannenbaum,Ashlyn Forge ,M M Romance,370,2013
1093,Singing the Dogstar Blues,Alison Goodman ,Young Adult,336,1998
1094,"Nella Last's War: The Second World War Diaries of 'Housewife, 49'",Nella Last,Nonfiction,312,1981
1095,The Ryn,Serena Chase ,Fantasy,380,2013
1096,Marcia Schuyler,Grace Livingston Hill,Romance,224,2008
1097,"Prague Winter: A Personal Story of Remembrance and War, 1937-1948",Madeleine K. Albright,Nonfiction,467,2012
1098,Pandora's Lab: Seven Stories of Science Gone Wrong,Paul A. Offit,Science,288,2017
1099,Mists of the Serengeti,Leylah Attar ,Romance,360,2017
1100,Mass,F. Sionil José,Fiction,256,1973
1101,Zero Day,Mark Russinovich,Fiction,328,2011
1102,The Time of My Life,Patrick Swayze,Biography,244,2007
1103,The Black Pearl,Scott O'Dell,Fiction,112,1967
1104,The Psychopathology of Everyday Life,Sigmund Freud,Psychology,395,2001
1105,Pigeon Post,Arthur Ransome,Fiction,382,1936
1106,Muhammad Ali: His Life and Times,Thomas Hauser,Biography,544,1991
1107,Kari,Amruta Patil,Graphic Novels,120,2007
1108,Flags in the Dust,William Faulkner,Fiction,448,1929
1109,Evening Is the Whole Day,Preeta Samarasan ,Fiction,340,2008
1110,"Don't Get Too Comfortable: The Indignities of Coach Class, The Torments of Low Thread Count, The Never-Ending Quest for Artisanal Olive Oil, and Other First World Problems",David Rakoff,Nonfiction,222,2005
1111,The Tolkien Reader,J.R.R. Tolkien,Fantasy,251,1966
1112,The Butlerian Jihad,Brian Herbert,Science Fiction,684,2002
1113,Old Black Fly,Jim Aylesworth,Picture Books,32,1992
1114,Found Treasure,Grace Livingston Hill,Christian Fiction,138,1928
1115,The Adventures of Nanny Piggins,R.A. Spratt ,Humor,256,2009
1116,Black Orchid,Neil Gaiman ,Graphic Novels,176,1990
